candidate_id,predicted_score,reasoning
CAND_0091534,80.04,"Candidate CAND_0091534 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0044855,79.96,"Candidate CAND_0044855 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0003977,79.77,"Candidate CAND_0003977 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0037944,79.63,"Candidate CAND_0037944 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0096142,79.6,"Candidate CAND_0096142 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0084819,79.49,"Candidate CAND_0084819 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0064904,79.47,"Candidate CAND_0064904 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0006567,79.31,"Candidate CAND_0006567 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0028793,79.25,"Candidate CAND_0028793 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0093331,79.25,"Candidate CAND_0093331 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0010257,79.19,"Candidate CAND_0010257 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0088025,79.15,"Candidate CAND_0088025 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0030953,79.03,"Candidate CAND_0030953 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0030348,78.92,"Candidate CAND_0030348 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0052682,78.9,"Candidate CAND_0052682 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0044222,78.86,"Candidate CAND_0044222 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0077296,78.37,"Candidate CAND_0077296 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0083879,78.27,"Candidate CAND_0083879 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0018499,78.26,"Candidate CAND_0018499 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0093547,78.25,"Candidate CAND_0093547 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0064326,77.85,"Candidate CAND_0064326 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0083852,77.84,"Candidate CAND_0083852 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0012888,77.67,"Candidate CAND_0012888 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0024147,77.64,"Candidate CAND_0024147 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0036520,77.63,"Candidate CAND_0036520 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0043860,77.62,"Candidate CAND_0043860 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0030031,77.6,"Candidate CAND_0030031 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0052195,77.6,"Candidate CAND_0052195 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0055992,77.54,"Candidate CAND_0055992 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0068932,77.39,"Candidate CAND_0068932 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0008425,77.29,"Candidate CAND_0008425 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0087494,77.29,"Candidate CAND_0087494 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0002120,77.28,"Candidate CAND_0002120 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0081846,77.21,"Candidate CAND_0081846 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0036437,76.97,"Candidate CAND_0036437 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0008978,76.89,"Candidate CAND_0008978 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0025640,76.82,"Candidate CAND_0025640 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0020877,76.79,"Candidate CAND_0020877 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0011687,76.62,"Candidate CAND_0011687 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0014440,76.16,"Candidate CAND_0014440 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0076284,76.0,"Candidate CAND_0076284 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0036863,75.85,"Candidate CAND_0036863 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0052328,75.84,"Candidate CAND_0052328 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0081686,75.22,"Candidate CAND_0081686 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0013536,75.17,"Candidate CAND_0013536 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0041568,75.07,"Candidate CAND_0041568 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0035879,75.01,"Candidate CAND_0035879 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0091890,74.94,"Candidate CAND_0091890 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0064270,74.91,"Candidate CAND_0064270 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0016163,74.75,"Candidate CAND_0016163 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0076904,74.69,"Candidate CAND_0076904 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0094023,74.6,"Candidate CAND_0094023 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0086151,74.49,"Candidate CAND_0086151 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0014715,74.43,"Candidate CAND_0014715 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0064130,74.0,"Candidate CAND_0064130 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0061244,73.84,"Candidate CAND_0061244 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0012957,73.81,"Candidate CAND_0012957 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0072232,73.75,"Candidate CAND_0072232 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0039521,73.34,"Candidate CAND_0039521 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0000031,73.2,"Candidate CAND_0000031 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0003557,73.13,"Candidate CAND_0003557 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0091909,73.13,"Candidate CAND_0091909 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0074225,73.05,"Candidate CAND_0074225 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0018549,72.83,"Candidate CAND_0018549 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0007412,72.68,"Candidate CAND_0007412 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0047721,72.56,"Candidate CAND_0047721 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0002037,72.53,"Candidate CAND_0002037 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0070485,72.43,"Candidate CAND_0070485 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0075439,72.42,"Candidate CAND_0075439 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0039383,72.41,"Candidate CAND_0039383 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0075249,72.15,"Candidate CAND_0075249 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0049538,72.11,"Candidate CAND_0049538 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0031593,72.1,"Candidate CAND_0031593 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0043228,72.02,"Candidate CAND_0043228 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0010149,72.0,"Candidate CAND_0010149 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0041669,71.86,"Candidate CAND_0041669 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0021410,71.68,"Candidate CAND_0021410 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0000422,71.57,"Candidate CAND_0000422 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0007596,71.53,"Candidate CAND_0007596 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0061175,71.5,"Candidate CAND_0061175 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0075574,71.48,"Candidate CAND_0075574 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
CAND_0092706,71.46,"Candidate CAND_0092706 was ranked in the top 100 primarily due to their market_demand_score, which is derived from the original dataset features: skills, location."
